companyName,description,countryOfCompany,categoryOfCompany,email,
Sercomm Corporation,"Sercomm Corporation (TWSE: 5388) is a worldwide leading manufacturer of telecom and broadband equipment. Sercomm offers comprehensive telecom broadband solutions such as IoT products, small cells, and residential/enterprise gateways. Sercomm's global operation network covers markets in North America, Europe, and the Asia Pacific region.",Taiwan,,,
SerraNova,,Italy,,,
"Shanghai Bay Energy Co.,Ltd","RUNHOOD POWER INC. is committed to make innovation of distributed energy storage product and technology of micro-grid, we make the Integration of Solar Photovoltaic Generation with Battery Storage, the On/Off-Grid Bidirectional Inverters, the Intelligent Energy Management System Based on Internet, and etc.",China,Accessories,qiyao.li@runhoodpower.com,
"Sharebox. Co., Ltd.",We create high quality MR content oriented around culture and education. Our current products include a AR astronomy education content for children and a VR simulation of South Korea's capital city.,South Korea,"AR/VR/XR,Education,Entertainment and Content,Family and Lifestyle,Startups",,
Sharp Audio,"One source multiple brands

Japanese design, development and engineering

Certified Sourcing & Manufacturing 

Distribution & Marketing 

Fulfillment & Direct-to-Consumer

Highest safety standards

Custom design

Corporate presence in each factory

Strict adherence to design protocol, materials and high quality workmanship",United States,,,
Sharvy,"Sharvy is a digital solution (web and mobile app) to manage shared spaces in a company: parking lot, offices, canteen, etc.

It supports companies in the implementation of new working methods (hybrid work, flex office): employees easily book or release spots, then, our algorithm allocates the available spaces according to priority rules.",France,"Accessibility,Artificial Intelligence,Smart Cities and Resilience,Startups",info@sharvy.com,
"Shenzhen C&D Electronics Co., Ltd.",,China,,,
"Shenzhen Creality 3D Technology Co., Ltd.","Creality 3D is a professional 3d printer manufacturer, specializing in integrating 3d printing software research, 3d printer design, and 3d printer distributing & reselling as a whole. We encourage everyone to join Creality 3D to learn more about 3d printing and enjoy the convenience of technology.",China,,info@creality.com,
"Shenzhen DAK Technology Co., Ltd.",,China,,,
"Shenzhen Dnine Technology Co., Ltd.",,China,,,
"Shenzhen Feasycom Technology Co., Ltd.",,China,,,
"Shenzhen Freesun Technology Co. ,Ltd",,China,,,
"Shenzhen Gamtec Technology Development Co., Ltd.",,China,"Accessories,Gaming and Esports",,
"Shenzhen Geelink Technology Co., Ltd.",,China,,,
"Shenzhen Gobelike Technology Co., Ltd.","Gobelike Technology Company is founded in 2006. We focus on the R&D of mobile phone, tablet PC, game player, digital camera, watch and other LCD screen protective accessories.",China,,Paul@gobelike.com,
"Shenzhen Jimi Software Co., Ltd.","As a trusted IOT solution provider focused on location tracking and video telematics, JIMI has been marching with its 1500+ employees and customers in 150+ countries. We help you boost fleet efficiency, manage assets better and adopt innovation faster in this smart connected world. We enjoy what we do, and we are good at it.",China,,info@jimilab.com,
"Shenzhen Jonter Digital Co., Ltd.","Jonter is a professional manufacturer of Bluetooth speakers and TWS earphones, with more than 10 years experience. 
A 20,000㎡ new factory was established in Dongguan in 2018. 50 engineers and 20 production lines, more than 600 skilled workers we have.   
BSCI and ISO9001 approved; CE, ROHS, FCC reports are standard requirements.",China,,,
"Shenzhen KeJinMing Electronic Co., Ltd.","Shenzhen Kejinming Electronics Co., Ltd. has over ten years of experience in the electronics industry. We specialized in R&D, manufacturing, and exporting kinds of electronic products, such as  projectors, tablets,  portable DVDs, Wifi photo frames, etc. Our comfortable products are mainly exported to Europe, America, and Japan,",China,,evans@kejinming.com,
"Shenzhen Kingstar Industrial Co., Ltd.",,China,,,
"Shenzhen Kixin Electronics Co., Ltd.",,China,,,
"Shenzhen KTC Technology Co., Ltd.","KTC Commercial Display founded in 2010, which has been dedicated to OEM/ODM business of commercial display products included IFPD, signage monitors, LCD video wall, digital signage, gaming monitor etc. widely used in such fields as commerce, education, security, industry and e-sports. Its annual production capacity reached 1400,000 sets.",China,,,
"ShenZhen LKKER SCM Co., Ltd.",,China,,,
"Shenzhen Lochn Optics Technology Co., Ltd.","Lochn Optics, established in 2014, the leading provider of virtual display modules, has obtained a large number of core technologies in optical design and production technique, and took the lead in achieving MP and batch shipment of array waveguide in China, meanwhile actively invest in diffractive waveguides.",China,,seven.kong@lochn.com,
"Samsung Electronics America, Inc.",,United States of America,,,
Samsung Electronics C-Lab,"C-Lab (Creative Lab) is a program operated by Samsung to develop creative ideas
into business opportunities and stimulate the South Korean startup ecosystem.
Samsung initiated C-Lab Inside as an in-house idea incubation program in 2012, and it has expanded the program externally as C-Lab Outside since 2018.",South Korea,"Artificial Intelligence,Digital Health,Family and Lifestyle,Robotics,Startups",creative@samsung.com,
"Samsung Electronics, Inc.","Welcome to a future where you can live better in your own, unique way. Enabled by a more personalized experience
and AI innovation, Samsung is exploring how we can build a better future for our planet, and our people.

 Join us to see how Samsung is creating a Better Normal for All.",South Korea,,,
Samsung SDS,"Samsung SDS was founded in 1985 as the ICT arm of the Samsung Group. Our solutions have been leading the digital transformation and innovation of our clients for over 30 years across a wide range of industries. With operations in 30 countries, Samsung SDS’s solutions utilize advanced analytics platforms, AI, and blockchain technologies.",South Korea,"Blockchain,Artificial Intelligence,Cloud Computing/Data,Cybersecurity,IoT/Sensors",contact.sds@samsung.com,
SapientX,"SapientX makes A.I. software that gives a voice and intelligence to other people products. It's being used by people making cars, health assistants and a wide range of consumer products. They offer high conversational accuracy, support for 40 languages and optional movie quality avatars.",United States of America,,info@sapientx.com,
Satisfyer,"Satisfyer is a sexual wellness brand dedicated to creating pleasurable, multi-sensory experiences. Believing that sexual health is for everyone, regardless of their sexual preference, socio-economic background, age, gender or skill level - Satisfyer offers the most comprehensive assortment of high-quality devices, at accessible prices.",United States,,info@satisfyer.com,
Sba loan group,,United States of America,,,
Scanblue Engineering AG,"Digitize your products with our patented technologies. Quick, efficient, scalable and in a breathtaking quality. Unrivaled worldwide.",Germany,,hello@scanblue.com,
Scanbo Technologies Inc,,Canada,,,
Schlage Lock Company LLC,,United States of America,,,
Schneider Electric,"Schneider’s purpose is to empower all to make the most of our energy and resources, bridging progress and sustainability for all. We call this Life Is On. Our mission is to be your digital partner for Sustainability and Efficiency.",France,,,
SCIC,,South Korea,"Fitness and Wearables,Sports Technology",,
Scosche Industries Inc.,"Scosche is the #1 Mount Brand in the US & Canada & #1 Mobile Accessories Brand in Canada. Scosche Accessories for Life! Designed to make your life simpler, safer, and richer, our accessories capture your drives, safely hold your phone, monitor your heart rate, and keep your vehicle healthier, so you can focus on following your passions.",United States,,,
Ampersand,"Ampersand is the Total TV Company. As the industry's largest source of combined multiscreen TV inventory and STB viewership insights, we are changing the way TV is bought and measured. Ampersand represents 80M households and nearly 70% of addressable households in the US.",United States of America,,,
